# summary of local and remote events executed
# LP, local, remote, total
Airport_82, 50, 12, 62
Airport_1333, 45, 8, 53
Airport_1966, 50, 13, 63
Airport_712, 48, 4, 52
Airport_83, 47, 8, 55
Airport_1334, 50, 14, 64
Airport_1967, 52, 11, 63
Airport_713, 51, 10, 61
Airport_84, 52, 18, 70
Airport_1335, 50, 9, 59
Airport_1968, 47, 14, 61
Airport_714, 50, 19, 69
Airport_1336, 46, 12, 58
Airport_85, 51, 15, 66
Airport_1969, 47, 12, 59
Airport_715, 51, 15, 66
Airport_1337, 49, 11, 60
Airport_1970, 48, 8, 56
Airport_86, 55, 11, 66
Airport_716, 55, 15, 70
Airport_1338, 40, 10, 50
Airport_1971, 47, 7, 54
Airport_87, 49, 11, 60
Airport_717, 49, 12, 61
Airport_1339, 52, 13, 65
Airport_1972, 54, 12, 66
Airport_88, 45, 6, 51
Airport_718, 50, 16, 66
Airport_1340, 52, 12, 64
Airport_1973, 53, 10, 63
Airport_89, 48, 11, 59
Airport_719, 52, 10, 62
Airport_1341, 51, 12, 63
Airport_1974, 51, 18, 69
Airport_90, 54, 15, 69
Airport_720, 48, 12, 60
Airport_1342, 57, 20, 77
Airport_1975, 45, 10, 55
Airport_91, 48, 17, 65
Airport_721, 47, 14, 61
Airport_1343, 49, 10, 59
Airport_1976, 47, 8, 55
Airport_92, 53, 9, 62
Airport_722, 51, 12, 63
Airport_1344, 48, 13, 61
Airport_1977, 48, 8, 56
Airport_93, 53, 19, 72
Airport_723, 49, 5, 54
Airport_1345, 46, 9, 55
Airport_1978, 45, 13, 58
Airport_94, 55, 13, 68
Airport_724, 51, 10, 61
Airport_1346, 51, 15, 66
Airport_1979, 47, 11, 58
Airport_95, 50, 11, 61
Airport_725, 50, 13, 63
Airport_96, 48, 12, 60
Airport_1347, 49, 15, 64
Airport_97, 51, 13, 64
Airport_1980, 50, 14, 64
Airport_98, 44, 11, 55
Airport_726, 46, 11, 57
Airport_99, 49, 12, 61
Airport_1348, 50, 20, 70
Airport_1981, 55, 18, 73
Airport_727, 52, 16, 68
Airport_100, 55, 20, 75
Airport_1349, 60, 16, 76
Airport_101, 44, 16, 60
Airport_1982, 49, 13, 62
Airport_102, 51, 12, 63
Airport_728, 46, 14, 60
Airport_103, 47, 13, 60
Airport_1350, 52, 13, 65
Airport_104, 47, 15, 62
Airport_1983, 51, 16, 67
Airport_105, 46, 8, 54
Airport_729, 47, 12, 59
Airport_106, 52, 16, 68
Airport_730, 56, 16, 72
Airport_107, 51, 10, 61
Airport_731, 52, 17, 69
Airport_108, 45, 14, 59
Airport_732, 46, 8, 54
Airport_109, 43, 6, 49
Airport_733, 52, 13, 65
Airport_110, 53, 17, 70
Airport_734, 50, 17, 67
